Press,Ratio,GSM8K,MATH,Olympiad-Bench,Omni-MATH,Average
None,0.00,45.00,36.90,30.60,28.90,35.4
ExpectedAttentionPress,0.10,47.10,38.20,32.40,30.90,37.2
ExpectedAttentionPress,0.50,39.00,29.20,29.00,28.10,31.3
KnormPress,0.10,33.40,31.40,24.70,24.80,28.6
KnormPress,0.50,5.40,,,,
ObservedAttentionPress,0.10,16.30,13.70,8.60,13.50,13.0
ObservedAttentionPress,0.50,25.40,17.40,9.50,13.80,16.5
QFilterPress,0.10,31.00,30.80,21.20,21.50,26.1
QFilterPress,0.50,36.00,28.10,20.90,19.60,26.2
RandomPress,0.50,28.70,22.90,18.70,20.40,22.7
SnapKVPress,0.10,45.00,37.30,31.80,29.30,35.8
SnapKVPress,0.25,45.50,36.80,31.20,29.40,35.7
SnapKVPress,0.50,48.10,35.20,32.40,30.80,36.6
StreamingLLMPress,0.10,41.40,35.80,30.70,27.50,33.8
StreamingLLMPress,0.50,36.20,27.30,22.30,21.80,26.9
TOVAPress,0.10,44.50,37.50,31.80,29.50,35.8
TOVAPress,0.50,44.80,34.90,31.80,29.50,35.2
